a035a2f3-5abb-11e4-bebc-54bef77155c5#c014d5af-59df-11e4-bebc-54bef77155c5;c014d5af-59df-11e4-bebc-54bef77155c5;46;Черный
a035a2f4-5abb-11e4-bebc-54bef77155c5#c014d5af-59df-11e4-bebc-54bef77155c5;c014d5af-59df-11e4-bebc-54bef77155c5;48;Черный
a035a2fd-5abb-11e4-bebc-54bef77155c5#886cdd7e-59d7-11e4-bebc-54bef77155c5;886cdd7e-59d7-11e4-bebc-54bef77155c5;56;Черный
a035a300-5abb-11e4-bebc-54bef77155c5#886cdd7e-59d7-11e4-bebc-54bef77155c5;886cdd7e-59d7-11e4-bebc-54bef77155c5;54;Горчичный
a035a302-5abb-11e4-bebc-54bef77155c5#886cdd7e-59d7-11e4-bebc-54bef77155c5;886cdd7e-59d7-11e4-bebc-54bef77155c5;50;Морская волна
a035a309-5abb-11e4-bebc-54bef77155c5#886cdd7e-59d7-11e4-bebc-54bef77155c5;886cdd7e-59d7-11e4-bebc-54bef77155c5;56;Сине-голубой
a668b11b-5abb-11e4-bebc-54bef77155c5#886cdd7e-59d7-11e4-bebc-54bef77155c5;886cdd7e-59d7-11e4-bebc-54bef77155c5;52;Сине-красный
a668b11c-5abb-11e4-bebc-54bef77155c5#886cdd7e-59d7-11e4-bebc-54bef77155c5;886cdd7e-59d7-11e4-bebc-54bef77155c5;54;Сине-красный
a668b125-5abb-11e4-bebc-54bef77155c5#fd5951a8-59d7-11e4-bebc-54bef77155c5;fd5951a8-59d7-11e4-bebc-54bef77155c5;56;Темно-синий
a668b137-5abb-11e4-bebc-54bef77155c5#ea08b35d-59d8-11e4-bebc-54bef77155c5;ea08b35d-59d8-11e4-bebc-54bef77155c5;46;Темно-серый
a668b138-5abb-11e4-bebc-54bef77155c5#ea08b35d-59d8-11e4-bebc-54bef77155c5;ea08b35d-59d8-11e4-bebc-54bef77155c5;48;Темно-серый
a668b141-5abb-11e4-bebc-54bef77155c5#ea08b35d-59d8-11e4-bebc-54bef77155c5;ea08b35d-59d8-11e4-bebc-54bef77155c5;50;Темно-коричневый
5530723f-5aba-11e4-bebc-54bef77155c5#f452a7df-59d7-11e4-bebc-54bef77155c5;f452a7df-59d7-11e4-bebc-54bef77155c5;36;черно-бежевый
55307245-5aba-11e4-bebc-54bef77155c5#58a5cfba-59e1-11e4-bebc-54bef77155c5;58a5cfba-59e1-11e4-bebc-54bef77155c5;38;Розовый
55307248-5aba-11e4-bebc-54bef77155c5#58a5cfbb-59e1-11e4-bebc-54bef77155c5;58a5cfbb-59e1-11e4-bebc-54bef77155c5;40;Белый
5530724e-5aba-11e4-bebc-54bef77155c5#8d557c47-59d9-11e4-bebc-54bef77155c5;8d557c47-59d9-11e4-bebc-54bef77155c5;38;Белый
55307254-5aba-11e4-bebc-54bef77155c5#b9a2f228-59e1-11e4-bebc-54bef77155c5;b9a2f228-59e1-11e4-bebc-54bef77155c5;50;Бежевый
55307256-5aba-11e4-bebc-54bef77155c5#f452a7e2-59d7-11e4-bebc-54bef77155c5;f452a7e2-59d7-11e4-bebc-54bef77155c5;42;Бирюзовый
